Conv Layers,Pool Layers,Epochs,Optimizer,Batch Size,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Train Time (s)
1,1,5,Adam,16,1.46188223361969,0.21250000596046448,1.5255005359649658,0.15000000596046448,21.921234369277954
1,1,5,Adam,32,1.609442114830017,0.20000000298023224,1.609442114830017,0.20000000298023224,21.61080241203308
1,1,5,Adam,64,1.5989128351211548,0.20000000298023224,1.6022052764892578,0.20000000298023224,23.954277276992798
1,1,5,Adam,128,16.17742919921875,0.2750000059604645,14.969889640808105,0.375,23.533405542373657
1,1,5,SGD,16,1.2686936855316162,0.675000011920929,1.2957100868225098,0.6000000238418579,19.339802503585815
1,1,5,SGD,32,1.12073814868927,0.6187499761581421,1.1440006494522095,0.574999988079071,19.238603591918945
1,1,5,SGD,64,1.3774569034576416,0.668749988079071,1.411562204360962,0.6000000238418579,19.760711669921875
1,1,5,SGD,128,1.474051594734192,0.36250001192092896,1.4341018199920654,0.32499998807907104,22.672696590423584
1,1,5,RMSprop,16,1.6070963144302368,0.20000000298023224,1.6094443798065186,0.20000000298023224,22.25011372566223
1,1,5,RMSprop,32,1.55385160446167,0.3125,1.5431020259857178,0.22499999403953552,21.006470680236816
1,1,5,RMSprop,64,1.6094474792480469,0.20000000298023224,1.6091562509536743,0.15000000596046448,20.678801774978638
1,1,5,RMSprop,128,1.6094472408294678,0.20000000298023224,1.6094474792480469,0.20000000298023224,22.665437698364258
1,1,5,Adadelta,16,1.531537652015686,0.28125,1.5223767757415771,0.25,30.356759309768677
1,1,5,Adadelta,32,1.5681716203689575,0.20000000298023224,1.5739758014678955,0.25,24.32039499282837
1,1,5,Adadelta,64,1.5304250717163086,0.29374998807907104,1.5071287155151367,0.2750000059604645,23.717659950256348
1,1,5,Adadelta,128,1.6325008869171143,0.23749999701976776,1.6036415100097656,0.2750000059604645,25.057427406311035
1,1,10,Adam,16,1.1873962879180908,0.5874999761581421,1.1683900356292725,0.574999988079071,51.5883252620697
1,1,10,Adam,32,0.490833580493927,0.875,0.71510910987854,0.6499999761581421,45.79964256286621
1,1,10,Adam,64,1.206477165222168,0.3375000059604645,1.2484184503555298,0.30000001192092896,41.538978576660156
1,1,10,Adam,128,1.609445571899414,0.20000000298023224,1.609445571899414,0.20000000298023224,41.238065004348755
1,1,10,SGD,16,0.42527860403060913,0.8999999761581421,0.6357239484786987,0.699999988079071,39.12700343132019
1,1,10,SGD,32,0.9554823040962219,0.875,1.0594757795333862,0.675000011920929,38.20397353172302
1,1,10,SGD,64,0.7161527276039124,0.887499988079071,0.8209047317504883,0.824999988079071,37.6117959022522
1,1,10,SGD,128,1.3696699142456055,0.668749988079071,1.3853020668029785,0.625,40.4008309841156
1,1,10,RMSprop,16,1.3565188646316528,0.3499999940395355,1.399064302444458,0.375,37.886826038360596
1,1,10,RMSprop,32,1.5404222011566162,0.21250000596046448,1.5301592350006104,0.20000000298023224,31.325814723968506
1,1,10,RMSprop,64,1.6094481945037842,0.20000000298023224,1.6094481945037842,0.20000000298023224,37.92742705345154
1,1,10,RMSprop,128,1.6094465255737305,0.20000000298023224,1.609421968460083,0.22499999403953552,42.346433877944946
1,1,10,Adadelta,16,1.453961968421936,0.3812499940395355,1.4746862649917603,0.32499998807907104,61.00809168815613
1,1,10,Adadelta,32,1.4565117359161377,0.4124999940395355,1.489206314086914,0.4000000059604645,47.28618669509888
1,1,10,Adadelta,64,1.5407625436782837,0.33125001192092896,1.516948938369751,0.375,44.23862981796265
1,1,10,Adadelta,128,1.5588709115982056,0.2562499940395355,1.5351343154907227,0.30000001192092896,44.52024984359741
1,1,25,Adam,16,1.3473488092422485,0.4000000059604645,1.3638324737548828,0.4000000059604645,74.57631516456604
1,1,25,Adam,32,1.0524849891662598,0.581250011920929,1.0834007263183594,0.574999988079071,78.21490263938904
1,1,25,Adam,64,1.4726622104644775,0.2750000059604645,1.490852952003479,0.30000001192092896,41.49358630180359
1,1,25,Adam,128,1.6094396114349365,0.20000000298023224,1.609439492225647,0.20000000298023224,46.956666707992554
1,1,25,SGD,16,0.08735115081071854,0.9937499761581421,0.5860128402709961,0.7749999761581421,94.80981302261353
1,1,25,SGD,32,0.186564639210701,0.96875,0.5020622611045837,0.7749999761581421,89.57472133636475
1,1,25,SGD,64,0.42532214522361755,0.925000011920929,0.6524935960769653,0.7749999761581421,89.87829256057739
1,1,25,SGD,128,0.8049818277359009,0.7124999761581421,0.914277195930481,0.625,101.36927843093872
1,1,25,RMSprop,16,1.609153151512146,0.20624999701976776,1.609442949295044,0.20000000298023224,75.49180483818054
1,1,25,RMSprop,32,1.5688213109970093,0.22499999403953552,1.5474871397018433,0.2750000059604645,33.44247531890869
1,1,25,RMSprop,64,1.4048807621002197,0.3062500059604645,1.4786393642425537,0.25,37.4204216003418
1,1,25,RMSprop,128,1.5002468824386597,0.3499999940395355,1.5072277784347534,0.32499998807907104,41.12536883354187
1,1,25,Adadelta,16,1.374130129814148,0.6499999761581421,1.3629295825958252,0.6499999761581421,152.98028445243835
1,1,25,Adadelta,32,1.473292589187622,0.3187499940395355,1.4901645183563232,0.3499999940395355,56.935232162475586
1,1,25,Adadelta,64,1.4571621417999268,0.42500001192092896,1.4480022192001343,0.32499998807907104,104.93301367759705
1,1,25,Adadelta,128,1.5522174835205078,0.25,1.5730555057525635,0.20000000298023224,118.18650221824646
1,1,50,Adam,16,1.60944402217865,0.20000000298023224,1.6094439029693604,0.20000000298023224,40.203869104385376
1,1,50,Adam,32,1.2652394771575928,0.4000000059604645,1.2558352947235107,0.4000000059604645,202.636549949646
1,1,50,Adam,64,1.34639310836792,0.3812499940395355,1.3132766485214233,0.375,90.79079604148865
1,1,50,Adam,128,1.469361662864685,0.3499999940395355,1.5221068859100342,0.4000000059604645,47.69461178779602
1,1,50,SGD,16,0.1288263201713562,0.96875,0.5366753339767456,0.7749999761581421,83.1450207233429
1,1,50,SGD,32,0.18700510263442993,0.981249988079071,0.5691607594490051,0.7749999761581421,111.82731342315674
1,1,50,SGD,64,0.21446934342384338,0.9750000238418579,0.4858477711677551,0.8500000238418579,165.77214193344116
1,1,50,SGD,128,0.4623201787471771,0.9312499761581421,0.637922465801239,0.7250000238418579,169.3555109500885
1,1,50,RMSprop,16,1.609300971031189,0.20000000298023224,1.6079152822494507,0.20000000298023224,37.76749801635742
1,1,50,RMSprop,32,1.3986777067184448,0.33125001192092896,1.4307255744934082,0.30000001192092896,37.40820789337158
1,1,50,RMSprop,64,1.3490242958068848,0.2874999940395355,1.3014742136001587,0.30000001192092896,52.66502571105957
1,1,50,RMSprop,128,1.0434398651123047,0.4000000059604645,1.0922996997833252,0.375,58.25715732574463
1,1,50,Adadelta,16,1.4426984786987305,0.4375,1.4740688800811768,0.375,95.46138143539429
1,1,50,Adadelta,32,1.4257221221923828,0.53125,1.4665508270263672,0.4000000059604645,76.73766803741455
1,1,50,Adadelta,64,1.4597374200820923,0.35624998807907104,1.4663795232772827,0.3499999940395355,97.32222580909729
1,1,50,Adadelta,128,1.5264264345169067,0.2750000059604645,1.5365848541259766,0.3499999940395355,117.67007112503052
1,2,5,Adam,16,1.3957453966140747,0.35624998807907104,1.431759238243103,0.3499999940395355,18.037787437438965
1,2,5,Adam,32,1.6091210842132568,0.20000000298023224,1.6094391345977783,0.20000000298023224,17.897758960723877
1,2,5,Adam,64,1.2935823202133179,0.4437499940395355,1.2760447263717651,0.375,18.32019567489624
1,2,5,Adam,128,2.341350555419922,0.21250000596046448,2.2357089519500732,0.20000000298023224,19.06687092781067
1,2,5,SGD,16,1.1302217245101929,0.59375,1.1166719198226929,0.625,16.583657026290894
1,2,5,SGD,32,1.141013741493225,0.6875,1.1358305215835571,0.699999988079071,16.692816734313965
